stockid,year,season,bookvalue,eps1,eps2,eps_grate,ROE
1714,2012,4,12.33,0.03,0.3,-0.9000000000000001,0.002439024390243902
1714,2013,1,12.66,0.13,0.35,-0.6285714285714286,0.010375099760574621
1714,2013,2,12.73,0.15,0.25,-0.4,0.011923688394276629
1714,2013,3,12.03,0.15,0.09,0.6666666666666666,0.012626262626262626
1714,2013,4,12.46,0.1,0.03,2.3333333333333335,0.008090614886731391
1714,2014,1,12.53,0.13,0.13,0,0.010483870967741936
1714,2014,2,12.32,-0.06,0.15,-1.4,-0.004846526655896607
1714,2014,3,11.93,-0.03,0.15,-1.2,-0.002508361204013378
1714,2014,4,11.72,-0.46,0.1,-5.6000000000000005,-0.03776683087027914
1714,2015,1,11.64,0.01,0.13,-0.9230769230769231,0.0008598452278589853
1715,2007,1,17.04,0.17,0.32,-0.46875,0.010077059869590992
1715,2007,2,16.37,0.36,0.35,0.0285714285714286,0.022485946283572766
1715,2007,3,16.72,0.25,0.46,-0.4565217391304348,0.015179113539769279
1715,2007,4,16.77,0.04,0.09,-0.5555555555555556,0.002390914524805738
1715,2008,1,16.16,-0.17,0.17,-2,-0.010410287813839559
1715,2008,2,15.83,0.32,0.36,-0.11111111111111106,0.020631850419084462
1715,2008,3,16.63,0.19,0.25,-0.24,0.011557177615571778
1715,2008,4,16.39,-0.19,0.04,-5.75,-0.011459589867310011
1715,2009,1,16.94,0.04,-0.17,-1.2352941176470589,0.0023668639053254434
1715,2009,2,16.8,0.27,0.32,-0.15624999999999997,0.016333938294010888
1715,2009,3,17.22,0.73,0.19,2.8421052631578947,0.044269254093389936
1715,2009,4,16.45,-0.57,-0.19,1.9999999999999998,-0.033490011750881316
1715,2010,1,16.88,0.63,0.04,14.749999999999998,0.03876923076923077
1715,2010,2,18.18,1.51,0.27,4.592592592592593,0.09058188362327535
1715,2010,3,17.15,0.56,0.73,-0.23287671232876703,0.03375527426160338
1715,2010,4,16.23,-0.31,-0.57,-0.45614035087719296,-0.018742442563482467
1715,2011,1,16.67,0.23,0.63,-0.634920634920635,0.013990267639902677
1715,2011,2,16.81,0.3,1.51,-0.8013245033112583,0.018170805572380377
1715,2011,3,17.96,0.39,0.56,-0.3035714285714286,0.0221969265793967
1715,2011,4,18.09,0.18,-0.31,-1.5806451612903225,0.010050251256281407
1715,2012,1,18.02,0.37,0.23,0.608695652173913,0.020963172804532578
1715,2012,2,17.31,0.25,0.3,-0.16666666666666663,0.014654161781946074
1715,2012,3,16.75,0.2,0.39,-0.48717948717948717,0.012084592145015106
1715,2012,4,16.87,0.13,0.18,-0.27777777777777773,0.007765830346475507
1715,2013,1,17.33,0.33,0.37,-0.10810810810810806,0.019411764705882354
1715,2013,2,16.77,0.51,0.25,1.04,0.03136531365313654
1715,2013,3,16.74,0.31,0.2,0.5499999999999999,0.018867924528301886
1715,2013,4,17.17,0.23,0.13,0.7692307692307693,0.01357733175914994
1715,2014,1,17.38,0.3,0.33,-0.09090909090909098,0.017564402810304452
1715,2014,2,16.17,0.42,0.51,-0.17647058823529416,0.02666666666666666
1715,2014,3,17.16,0.87,0.31,1.806451612903226,0.053406998158379376
1715,2014,4,17.76,0.18,0.23,-0.21739130434782614,0.01023890784982935
1715,2015,1,17.77,0.17,0.3,-0.4333333333333333,0.00965909090909091
1717,2007,1,19.81,0.55,0.74,-0.2567567567567567,0.02855659397715473
1717,2007,2,19.47,0.59,0.8,-0.26250000000000007,0.03125
1717,2007,3,18.35,0.94,0.99,-0.05050505050505055,0.0539919586444572
1717,2007,4,19.41,1.03,0.7,0.4714285714285716,0.056039173014145814
1717,2008,1,19.6,0.34,0.55,-0.38181818181818183,0.017653167185877467
1717,2008,2,18.72,0.46,0.59,-0.22033898305084737,0.025191675794085436
1717,2008,3,18.01,0.75,0.94,-0.20212765957446804,0.043453070683661645
1717,2008,4,18.37,0.15,1.03,-0.8543689320388349,0.008232711306256859
1717,2009,1,20.11,1.24,0.34,2.6470588235294112,0.06571277159512454
1717,2009,2,19.25,0.87,0.46,0.8913043478260869,0.04733405875952122
1717,2009,3,19.69,0.87,0.75,0.16,0.04622741764080765
1717,2009,4,20.2,0.53,0.15,2.5333333333333337,0.026944585663446877
1717,2010,1,20.54,0.53,1.24,-0.5725806451612903,0.02648675662168916
1717,2010,2,19.55,0.93,0.87,0.06896551724137938,0.04994629430719656
1717,2010,3,19.32,0.86,0.87,-0.011494252873563229,0.04658721560130011
1717,2010,4,18.58,0.28,0.53,-0.4716981132075471,0.015300546448087435
1717,2011,1,19.18,0.28,0.53,-0.4716981132075471,0.014814814814814817
1717,2011,2,17.81,0.26,0.93,-0.7204301075268817,0.014814814814814817
1717,2011,3,18.01,0.45,0.86,-0.4767441860465116,0.02562642369020501
1717,2011,4,18.65,0.24,0.28,-0.14285714285714296,0.013036393264530146
1717,2012,1,18.6,0.23,0.28,-0.1785714285714286,0.012520413718018509
1717,2012,2,18.15,0.38,0.26,0.4615384615384615,0.021384355655599326
1717,2012,3,18.41,0.44,0.45,-0.02222222222222224,0.02448525319977741
1717,2012,4,18.4,0.22,0.24,-0.0833333333333333,0.0121012101210121
1717,2013,1,18.99,0.27,0.23,0.1739130434782609,0.014423076923076926
1717,2013,2,18.46,0.5,0.38,0.3157894736842105,0.027839643652561245
1717,2013,3,19.03,0.6,0.44,0.3636363636363636,0.032555615843733045
1717,2013,4,19.97,0.57,0.22,1.5909090909090908,0.029381443298969072
1717,2014,1,20.27,0.35,0.27,0.2962962962962961,0.017570281124497992
1717,2014,2,19.1,0.64,0.5,0.28,0.03466955579631636
1717,2014,3,19.76,0.65,0.6,0.08333333333333341,0.03401360544217687
